date,ページタイトル,URL,訪問数,直帰率,平均滞在時間,CV数,CV率
2025-03-03,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,233,70%,0:02:00,23,10.00%
2025-03-03,企業情報ページ,www.goodpc.com/about/index.html,833,50%,0:01:45,7,0.80%
2025-03-03,BtoBサービスページ,www.goodpc.com/b2b/index.html,500,55%,0:02:00,13,2.67%
2025-03-03,FAQページ,www.goodpc.com/support/faq.html,333,60%,0:01:00,2,0.50%
2025-03-06,トップページ,www.goodpc.com/index.html,4010,35%,0:02:45,68,1.67%
2025-03-06,製品情報一覧ページ,www.goodpc.com/products/index.html,2708,40%,0:03:00,51,1.88%
2025-03-06,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1005,30%,0:03:30,20,2.00%
2025-03-06,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,832,38%,0:03:00,16,2.00%
2025-03-06,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1167,25%,0:02:20,60,5.00%
2025-03-06,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,169,20%,0:01:30,18,10.00%
2025-03-06,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,101,25%,0:01:20,10,10.00%
2025-03-06,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,134,18%,0:01:40,21,15.00%
2025-03-06,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,236,70%,0:02:00,23,10.00%
2025-03-06,企業情報ページ,www.goodpc.com/about/index.html,834,50%,0:01:45,7,0.80%
2025-03-06,BtoBサービスページ,www.goodpc.com/b2b/index.html,501,55%,0:02:00,13,2.67%
2025-03-06,FAQページ,www.goodpc.com/support/faq.html,334,60%,0:01:00,2,0.50%
2025-03-09,トップページ,www.goodpc.com/index.html,4020,35%,0:02:45,69,1.67%
2025-03-09,製品情報一覧ページ,www.goodpc.com/products/index.html,2716,40%,0:03:00,52,1.88%
2025-03-09,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1010,30%,0:03:30,20,2.00%
2025-03-09,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,834,38%,0:03:00,16,2.00%
2025-03-09,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1174,25%,0:02:20,62,5.00%
2025-03-09,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,171,20%,0:01:30,19,10.00%
2025-03-09,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,102,25%,0:01:20,10,10.00%
2025-03-09,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,135,18%,0:01:40,22,15.00%
2025-03-09,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,239,70%,0:02:00,23,10.00%
2025-03-09,企業情報ページ,www.goodpc.com/about/index.html,835,50%,0:01:45,7,0.80%
2025-03-09,BtoBサービスページ,www.goodpc.com/b2b/index.html,502,55%,0:02:00,13,2.67%
2025-03-09,FAQページ,www.goodpc.com/support/faq.html,335,60%,0:01:00,2,0.50%
2025-03-12,トップページ,www.goodpc.com/index.html,4030,35%,0:02:45,70,1.67%
2025-03-12,製品情報一覧ページ,www.goodpc.com/products/index.html,2724,40%,0:03:00,53,1.88%
2025-03-12,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1015,30%,0:03:30,20,2.00%
2025-03-12,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,836,38%,0:03:00,16,2.00%
2025-03-12,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1181,25%,0:02:20,64,5.00%
2025-03-12,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,173,20%,0:01:30,20,10.00%
2025-03-12,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,103,25%,0:01:20,10,10.00%
2025-03-12,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,136,18%,0:01:40,23,15.00%
2025-03-12,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,242,70%,0:02:00,23,10.00%
2025-03-12,企業情報ページ,www.goodpc.com/about/index.html,836,50%,0:01:45,7,0.80%
2025-03-12,BtoBサービスページ,www.goodpc.com/b2b/index.html,503,55%,0:02:00,13,2.67%
2025-03-12,FAQページ,www.goodpc.com/support/faq.html,336,60%,0:01:00,2,0.50%
2025-03-15,トップページ,www.goodpc.com/index.html,4040,35%,0:02:45,71,1.67%
2025-03-15,製品情報一覧ページ,www.goodpc.com/products/index.html,2732,40%,0:03:00,54,1.88%
2025-03-15,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1020,30%,0:03:30,20,2.00%
2025-03-15,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,838,38%,0:03:00,16,2.00%
2025-03-15,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1188,25%,0:02:20,66,5.00%
2025-03-15,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,175,20%,0:01:30,21,10.00%
2025-03-15,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,104,25%,0:01:20,10,10.00%
2025-03-15,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,137,18%,0:01:40,24,15.00%
2025-03-15,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,245,70%,0:02:00,23,10.00%
2025-03-15,企業情報ページ,www.goodpc.com/about/index.html,837,50%,0:01:45,7,0.80%
2025-03-15,BtoBサービスページ,www.goodpc.com/b2b/index.html,504,55%,0:02:00,13,2.67%
2025-03-15,FAQページ,www.goodpc.com/support/faq.html,337,60%,0:01:00,2,0.50%
2025-03-18,トップページ,www.goodpc.com/index.html,4050,35%,0:02:45,72,1.67%
2025-03-18,製品情報一覧ページ,www.goodpc.com/products/index.html,2740,40%,0:03:00,55,1.88%
2025-03-18,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1025,30%,0:03:30,20,2.00%
2025-03-18,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,840,38%,0:03:00,16,2.00%
2025-03-18,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1195,25%,0:02:20,68,5.00%
2025-03-18,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,177,20%,0:01:30,22,10.00%
2025-03-18,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,105,25%,0:01:20,10,10.00%
2025-03-18,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,138,18%,0:01:40,25,15.00%
2025-03-18,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,248,70%,0:02:00,23,10.00%
2025-03-18,企業情報ページ,www.goodpc.com/about/index.html,838,50%,0:01:45,7,0.80%
2025-03-18,BtoBサービスページ,www.goodpc.com/b2b/index.html,505,55%,0:02:00,13,2.67%
2025-03-18,FAQページ,www.goodpc.com/support/faq.html,338,60%,0:01:00,2,0.50%
2025-03-21,トップページ,www.goodpc.com/index.html,4060,35%,0:02:45,73,1.67%
2025-03-21,製品情報一覧ページ,www.goodpc.com/products/index.html,2748,40%,0:03:00,56,1.88%
2025-03-21,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1030,30%,0:03:30,20,2.00%
2025-03-21,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,842,38%,0:03:00,16,2.00%
2025-03-21,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1202,25%,0:02:20,70,5.00%
2025-03-21,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,179,20%,0:01:30,23,10.00%
2025-03-21,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,106,25%,0:01:20,10,10.00%
2025-03-21,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,139,18%,0:01:40,26,15.00%
2025-03-21,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,251,70%,0:02:00,23,10.00%
2025-03-21,企業情報ページ,www.goodpc.com/about/index.html,839,50%,0:01:45,7,0.80%
2025-03-21,BtoBサービスページ,www.goodpc.com/b2b/index.html,506,55%,0:02:00,13,2.67%
2025-03-21,FAQページ,www.goodpc.com/support/faq.html,339,60%,0:01:00,2,0.50%
2025-03-24,トップページ,www.goodpc.com/index.html,4070,35%,0:02:45,74,1.67%
2025-03-24,製品情報一覧ページ,www.goodpc.com/products/index.html,2756,40%,0:03:00,57,1.88%
2025-03-24,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1035,30%,0:03:30,20,2.00%
2025-03-24,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,844,38%,0:03:00,16,2.00%
2025-03-24,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1209,25%,0:02:20,72,5.00%
2025-03-24,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,181,20%,0:01:30,24,10.00%
2025-03-24,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,107,25%,0:01:20,10,10.00%
2025-03-24,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,140,18%,0:01:40,27,15.00%
2025-03-24,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,254,70%,0:02:00,23,10.00%
2025-03-24,企業情報ページ,www.goodpc.com/about/index.html,840,50%,0:01:45,7,0.80%
2025-03-24,BtoBサービスページ,www.goodpc.com/b2b/index.html,507,55%,0:02:00,13,2.67%
2025-03-24,FAQページ,www.goodpc.com/support/faq.html,340,60%,0:01:00,2,0.50%
2025-03-27,トップページ,www.goodpc.com/index.html,4080,35%,0:02:45,75,1.67%
2025-03-27,製品情報一覧ページ,www.goodpc.com/products/index.html,2764,40%,0:03:00,58,1.88%
2025-03-27,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1040,30%,0:03:30,20,2.00%
2025-03-27,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,846,38%,0:03:00,16,2.00%
2025-03-27,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1216,25%,0:02:20,74,5.00%
2025-03-27,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,183,20%,0:01:30,25,10.00%
2025-03-27,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,108,25%,0:01:20,10,10.00%
2025-03-27,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,141,18%,0:01:40,28,15.00%
2025-03-27,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,257,70%,0:02:00,23,10.00%
2025-03-27,企業情報ページ,www.goodpc.com/about/index.html,841,50%,0:01:45,7,0.80%
2025-03-27,BtoBサービスページ,www.goodpc.com/b2b/index.html,508,55%,0:02:00,13,2.67%
2025-03-27,FAQページ,www.goodpc.com/support/faq.html,341,60%,0:01:00,2,0.50%
2025-03-31,トップページ,www.goodpc.com/index.html,4090,35%,0:02:45,76,1.67%
2025-03-31,製品情報一覧ページ,www.goodpc.com/products/index.html,2772,40%,0:03:00,59,1.88%
2025-03-31,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1045,30%,0:03:30,20,2.00%
2025-03-31,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,848,38%,0:03:00,16,2.00%
2025-03-31,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1223,25%,0:02:20,76,5.00%
2025-03-31,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,185,20%,0:01:30,26,10.00%
2025-03-31,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,109,25%,0:01:20,10,10.00%
2025-03-31,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,142,18%,0:01:40,29,15.00%
2025-03-31,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,260,70%,0:02:00,23,10.00%
2025-03-31,企業情報ページ,www.goodpc.com/about/index.html,842,50%,0:01:45,7,0.80%
2025-03-31,BtoBサービスページ,www.goodpc.com/b2b/index.html,509,55%,0:02:00,13,2.67%
2025-03-31,FAQページ,www.goodpc.com/support/faq.html,342,60%,0:01:00,2,0.50%
